size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,13120546,11959469,16384,9830,4.859007e-05,INTEGRATION
1024,2,13897176,13875838,16384,9830,4.859007e-05,INTEGRATION
1024,3,15375853,14983384,18022,9830,4.859007e-05,INTEGRATION
1024,4,16075084,14626100,16384,11468,4.859007e-05,INTEGRATION
1024,5,14468084,13885669,16384,9830,4.859007e-05,INTEGRATION
2048,1,15662361,14450307,27852,14745,3.295633e-05,INTEGRATION
2048,2,15478400,14525069,27852,14745,3.295633e-05,INTEGRATION
2048,3,14566246,14067661,26214,14745,3.295633e-05,INTEGRATION
2048,4,15550123,14586007,27852,14745,3.295633e-05,INTEGRATION
2048,5,15037976,14563046,27852,14745,3.295633e-05,INTEGRATION
4096,1,14075630,14740500,47513,26214,3.361765e-05,INTEGRATION
4096,2,14652269,15465484,47513,27852,3.361765e-05,INTEGRATION
4096,3,15335192,14729330,45875,26214,3.361765e-05,INTEGRATION
4096,4,15795053,14626838,47513,27852,3.361765e-05,INTEGRATION
4096,5,15073100,14585284,45875,26214,3.361765e-05,INTEGRATION
8192,1,16900807,15243192,88473,49152,3.481010e-05,INTEGRATION
8192,2,14715476,14716553,88473,47513,3.481010e-05,INTEGRATION
8192,3,14814215,15352715,88473,47513,3.481010e-05,INTEGRATION
8192,4,15926923,15106277,90112,47513,3.481010e-05,INTEGRATION
8192,5,14721046,14837230,88473,47513,3.481010e-05,INTEGRATION
16384,1,16376800,16036100,188416,108953,3.687870e-05,INTEGRATION
16384,2,15386100,15667807,188416,107315,3.687870e-05,INTEGRATION
16384,3,16122007,16793946,188416,108953,3.687870e-05,INTEGRATION
16384,4,15005792,15550461,186777,107315,3.687870e-05,INTEGRATION
16384,5,15012861,15690392,188416,107315,3.687870e-05,INTEGRATION
32768,1,17546546,16824676,344064,190873,4.061135e-05,INTEGRATION
32768,2,15168853,17374800,344064,190873,4.061135e-05,INTEGRATION
32768,3,15868161,18291815,342425,190873,4.061135e-05,INTEGRATION
32768,4,14999138,16383792,342425,190873,4.061135e-05,INTEGRATION
32768,5,15136461,16237161,342425,190873,4.061135e-05,INTEGRATION
65536,1,16611407,27529469,663552,354713,5.985391e-05,INTEGRATION
65536,2,15951207,25621230,663552,354713,5.985391e-05,INTEGRATION
65536,3,16362484,27388069,661913,354713,5.985391e-05,INTEGRATION
65536,4,15930184,24768884,663552,354713,5.985391e-05,INTEGRATION
65536,5,15874338,24590492,663552,354713,5.985391e-05,INTEGRATION
131072,1,21834892,30574069,662468,685670,9.143827e-05,INTEGRATION
131072,2,21253269,32334038,749712,70998,9.143827e-05,INTEGRATION
131072,3,20910700,33271692,662466,67736,9.143827e-05,INTEGRATION
131072,4,20770053,31873507,662466,70998,9.143827e-05,INTEGRATION
131072,5,20633907,30563376,662466,685670,9.143827e-05,INTEGRATION
262144,1,29192307,35905669,892251,773863,1.512807e-04,INTEGRATION
262144,2,34860638,36162584,892251,777141,1.512807e-04,INTEGRATION
262144,3,33105207,37278676,970894,777141,1.512807e-04,INTEGRATION
262144,4,30416276,36472576,893890,777140,1.512807e-04,INTEGRATION
262144,5,30932092,36504884,893848,773863,1.512807e-04,INTEGRATION
