algorithm,total_time_ms_mean,total_time_ms_median,energy_J_mean,energy_J_median,rounds
AES-GCM,8.393221818181818,3.0084999999999997,0.056294836363636365,0.031125599999999996,165
ChaCha20,16.12816606060606,3.1704,0.09220647272727274,0.030794400000000003,165
AES,18.368686666666665,4.5416,0.10046912727272728,0.030888000000000002,165
RSA-Hybrid,18.591733333333334,3.8235,0.10626283636363636,0.030787200000000004,165
ElGamal,18.933441818181816,4.0876,0.10628803636363636,0.0310788,165
