size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,12002461,12460830,16384,16384,4.334628e-05,INTEGRATION
1024,2,11692646,14693077,16384,16384,4.334628e-05,INTEGRATION
1024,3,12945423,14978284,16384,16384,4.334628e-05,INTEGRATION
1024,4,12903815,15760153,16384,16384,4.334628e-05,INTEGRATION
1024,5,13432515,17217376,16384,18022,4.334628e-05,INTEGRATION
2048,1,11992761,12450607,26214,22937,3.309468e-05,INTEGRATION
2048,2,12222553,14081200,26214,21299,3.309468e-05,INTEGRATION
2048,3,12613507,15078423,26214,21299,3.309468e-05,INTEGRATION
2048,4,13314869,15046430,26214,22937,3.309468e-05,INTEGRATION
2048,5,12973292,15000038,26214,22937,3.309468e-05,INTEGRATION
4096,1,14743938,14586376,45875,34406,3.386047e-05,INTEGRATION
4096,2,13267692,15765138,45875,34406,3.386047e-05,INTEGRATION
4096,3,13484953,16362715,45875,34406,3.386047e-05,INTEGRATION
4096,4,13354276,16727723,45875,34406,3.386047e-05,INTEGRATION
4096,5,13627838,17615446,45875,34406,3.386047e-05,INTEGRATION
8192,1,12202646,13608984,88473,52428,3.458734e-05,INTEGRATION
8192,2,12691961,16639530,88473,54067,3.458734e-05,INTEGRATION
8192,3,14188300,17193515,88473,54067,3.458734e-05,INTEGRATION
8192,4,14341361,16628861,88473,54067,3.458734e-05,INTEGRATION
8192,5,13491223,17082677,88473,54067,3.458734e-05,INTEGRATION
16384,1,13101015,13819869,186777,113868,3.624087e-05,INTEGRATION
16384,2,13574684,16572800,186777,115507,3.624087e-05,INTEGRATION
16384,3,13789138,16324123,186777,115507,3.624087e-05,INTEGRATION
16384,4,13674400,16574984,186777,115507,3.624087e-05,INTEGRATION
16384,5,13634530,16507623,186777,115507,3.624087e-05,INTEGRATION
32768,1,13688123,15665876,342425,195788,4.334918e-05,INTEGRATION
32768,2,14164884,18251169,342425,197427,4.334918e-05,INTEGRATION
32768,3,15069946,18416307,344064,197427,4.334918e-05,INTEGRATION
32768,4,14645976,18029907,342425,197427,4.334918e-05,INTEGRATION
32768,5,14004307,16718069,342425,197427,4.334918e-05,INTEGRATION
65536,1,15512061,26063784,663552,361267,5.302649e-05,INTEGRATION
65536,2,16140830,27591107,663552,361267,5.302649e-05,INTEGRATION
65536,3,15439476,25379930,663552,361267,5.302649e-05,INTEGRATION
65536,4,15465961,24878000,663552,361267,5.302649e-05,INTEGRATION
65536,5,15466515,25407538,663552,361267,5.302649e-05,INTEGRATION
131072,1,20290738,33890407,662474,94748,7.752397e-05,INTEGRATION
131072,2,20196715,31141192,662472,67731,7.752397e-05,INTEGRATION
131072,3,20302376,31328984,662487,67731,7.752397e-05,INTEGRATION
131072,4,20214623,32051577,662472,67721,7.752397e-05,INTEGRATION
131072,5,20263623,31248638,662472,67731,7.752397e-05,INTEGRATION
262144,1,29391653,37107423,1061014,778778,1.241409e-04,INTEGRATION
262144,2,32598615,37421415,1025788,778778,1.241409e-04,INTEGRATION
262144,3,36101715,37213507,1096250,778917,1.241409e-04,INTEGRATION
262144,4,34639284,36567023,970900,778778,1.241409e-04,INTEGRATION
262144,5,32162915,36729592,970900,777140,1.241409e-04,INTEGRATION
