size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,1204737,1222976,9666,4751,4.741557e-05,INTEGRATION
1024,2,1283588,1429578,9666,4751,4.741557e-05,INTEGRATION
1024,3,1399858,1590676,9666,4915,4.741557e-05,INTEGRATION
1024,4,1520089,1668695,9830,4915,4.741557e-05,INTEGRATION
1024,5,1558563,1542334,9666,4915,4.741557e-05,INTEGRATION
2048,1,1490217,1678342,18841,9011,2.867088e-05,INTEGRATION
2048,2,1435713,1635498,18677,9011,2.867088e-05,INTEGRATION
2048,3,1436120,1519673,18677,9011,2.867088e-05,INTEGRATION
2048,4,1449268,1610455,18677,9011,2.867088e-05,INTEGRATION
2048,5,1425240,1707264,18677,9011,2.867088e-05,INTEGRATION
4096,1,1716316,1763083,37519,17367,3.261406e-05,INTEGRATION
4096,2,1568062,1882243,37355,17367,3.261406e-05,INTEGRATION
4096,3,1422142,1749731,37355,17367,3.261406e-05,INTEGRATION
4096,4,1478531,1764763,37519,17367,3.261406e-05,INTEGRATION
4096,5,1551212,1850408,37355,17367,3.261406e-05,INTEGRATION
8192,1,2002613,2372737,75530,34078,4.499571e-05,INTEGRATION
8192,2,1577993,2689116,75366,34078,4.499571e-05,INTEGRATION
8192,3,1559941,2466511,75202,34078,4.499571e-05,INTEGRATION
8192,4,1613458,2725903,75202,34078,4.499571e-05,INTEGRATION
8192,5,1501701,2627236,75038,34078,4.499571e-05,INTEGRATION
16384,1,2179360,3213950,97611,20485,6.631308e-05,INTEGRATION
16384,2,1914205,3250182,96015,21425,6.631308e-05,INTEGRATION
16384,3,1911294,3073440,95768,18027,6.631308e-05,INTEGRATION
16384,4,1885250,3279051,94662,22077,6.631308e-05,INTEGRATION
16384,5,1993500,2563861,96665,82903,6.631308e-05,INTEGRATION
32768,1,3226710,3605101,118577,18559,1.096692e-04,INTEGRATION
32768,2,2566280,3604134,103796,87126,1.096692e-04,INTEGRATION
32768,3,2945969,3574621,123661,87126,1.096692e-04,INTEGRATION
32768,4,2666328,3580824,70576,18559,1.096692e-04,INTEGRATION
32768,5,2551363,3572455,91835,86021,1.096692e-04,INTEGRATION
65536,1,3954741,6250808,240273,71730,2.069606e-04,INTEGRATION
65536,2,3948154,6331253,234257,65629,2.069606e-04,INTEGRATION
65536,3,3910353,6236254,234421,62679,2.069606e-04,INTEGRATION
65536,4,3962436,6032347,88028,73123,2.069606e-04,INTEGRATION
65536,5,3941723,6426843,222379,66856,2.069606e-04,INTEGRATION
131072,1,7098423,10859316,126774,67753,3.927558e-04,INTEGRATION
131072,2,6769393,10880529,126774,56939,3.927558e-04,INTEGRATION
131072,3,6788602,10931723,190549,48828,3.927558e-04,INTEGRATION
131072,4,6796488,10894070,86961,70455,3.927558e-04,INTEGRATION
131072,5,6785396,10883165,144510,87003,3.927558e-04,INTEGRATION
262144,1,12653196,21193135,332889,79888,7.771136e-04,INTEGRATION
262144,2,12447285,20729997,365001,104007,7.771136e-04,INTEGRATION
262144,3,13369609,20742338,104128,109654,7.771136e-04,INTEGRATION
262144,4,12660825,20627605,368688,93357,7.771136e-04,INTEGRATION
262144,5,13435141,20658800,149917,77218,7.771136e-04,INTEGRATION
