size_bytes,round_index,enc_ns,dec_ns,enc_mem_bytes,dec_mem_bytes,energy_mWh,method
1024,1,2385815,2382221,11141,6225,4.245584e-05,INTEGRATION
1024,2,2395113,2513015,11141,6225,4.245584e-05,INTEGRATION
1024,3,2540976,2681398,11141,6225,4.245584e-05,INTEGRATION
1024,4,2813260,2891730,11141,6225,4.245584e-05,INTEGRATION
1024,5,2919010,2898912,11141,6225,4.245584e-05,INTEGRATION
2048,1,2744073,3315758,21299,11796,2.821371e-05,INTEGRATION
2048,2,3057447,3120349,21626,11468,2.821371e-05,INTEGRATION
2048,3,2952761,3169593,21299,11796,2.821371e-05,INTEGRATION
2048,4,3024807,3095704,21626,11796,2.821371e-05,INTEGRATION
2048,5,2994073,3097890,21626,11468,2.821371e-05,INTEGRATION
4096,1,3330498,3582855,41943,21954,3.001938e-05,INTEGRATION
4096,2,3119303,3333936,41615,21954,3.001938e-05,INTEGRATION
4096,3,3044093,3503269,41943,21954,3.001938e-05,INTEGRATION
4096,4,2943413,3119896,41943,21954,3.001938e-05,INTEGRATION
4096,5,2904750,3151029,41615,21626,3.001938e-05,INTEGRATION
8192,1,3808400,3531829,84541,42926,3.632078e-05,INTEGRATION
8192,2,3091435,3731021,84213,42926,3.632078e-05,INTEGRATION
8192,3,3099452,3463513,84213,42926,3.632078e-05,INTEGRATION
8192,4,3197735,3635121,84541,42926,3.632078e-05,INTEGRATION
8192,5,3035501,3429601,84213,42926,3.632078e-05,INTEGRATION
16384,1,4006861,5487555,181862,103710,5.867160e-05,INTEGRATION
16384,2,3606056,5040060,181862,103710,5.867160e-05,INTEGRATION
16384,3,3597083,5049243,181862,103710,5.867160e-05,INTEGRATION
16384,4,3597213,5416270,181534,103710,5.867160e-05,INTEGRATION
16384,5,3573460,5376896,181534,103710,5.867160e-05,INTEGRATION
32768,1,5095809,7244787,216199,62678,9.043898e-05,INTEGRATION
32768,2,4851943,6736349,216220,61941,9.043898e-05,INTEGRATION
32768,3,4868387,6568358,216216,62678,9.043898e-05,INTEGRATION
32768,4,4887616,6844912,216196,65628,9.043898e-05,INTEGRATION
32768,5,4959540,6041723,216852,61946,9.043898e-05,INTEGRATION
65536,1,8309075,9449260,101354,81110,1.623182e-04,INTEGRATION
65536,2,7447632,9867527,322282,86681,1.623182e-04,INTEGRATION
65536,3,7436129,9447752,89312,74150,1.623182e-04,INTEGRATION
65536,4,7468284,9487969,89640,86681,1.623182e-04,INTEGRATION
65536,5,7442836,9432856,91033,86681,1.623182e-04,INTEGRATION
131072,1,12642075,16669180,124292,62514,3.088279e-04,INTEGRATION
131072,2,12565641,16677001,125265,76031,3.088279e-04,INTEGRATION
131072,3,12599421,16638426,124292,81438,3.088279e-04,INTEGRATION
131072,4,12579518,16587267,104798,86845,3.088279e-04,INTEGRATION
131072,5,12573155,16617329,156244,247008,3.088279e-04,INTEGRATION
262144,1,22653987,32204529,529223,144107,6.044452e-04,INTEGRATION
262144,2,22669100,30821967,127652,160419,6.044452e-04,INTEGRATION
262144,3,22705235,31536952,434676,111840,6.044452e-04,INTEGRATION
262144,4,22636676,30775593,280667,154440,6.044452e-04,INTEGRATION
262144,5,22681555,31252900,529879,193012,6.044452e-04,INTEGRATION
